38 Provinsi,
,Kepadatan Penduduk menurut Provinsi (jiwa/km2)
,2019
ACEH,93
SUMATERA UTARA,200
SUMATERA BARAT,130
RIAU,80
JAMBI,72
SUMATERA SELATAN,92
BENGKULU,100
LAMPUNG,244
KEP. BANGKA BELITUNG,91
KEP. RIAU,267
DKI JAKARTA,15900
JAWA BARAT,1394
JAWA TENGAH,1058
DI YOGYAKARTA,1227
JAWA TIMUR,831
BANTEN,1338
BALI,750
NUSA TENGGARA BARAT,273
NUSA TENGGARA TIMUR,112
KALIMANTAN BARAT,34
KALIMANTAN TENGAH,18
KALIMANTAN SELATAN,110
KALIMANTAN TIMUR,29
KALIMANTAN UTARA,10
SULAWESI UTARA,181
SULAWESI TENGAH,49
SULAWESI SELATAN,189
SULAWESI TENGGARA,71
GORONTALO,107
SULAWESI BARAT,82
MALUKU,38
MALUKU UTARA,39
PAPUA BARAT,9
PAPUA BARAT DAYA,-
PAPUA,11
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,140
