provinsi,tahun,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ff_avg,KP,JP,JK,IR,M,CFR
Maluku Utara,2019,19.419172413793103,30.845862068965516,23.815310344827584,73.29793103448276,4.075793103448276,6.373724137931034,4.117931034482758,1.303448275862069,39.0,1255771,1195,95.16,16,1.34
Maluku Utara,2020,17.033237410071944,30.96676258992806,24.678561151079133,78.19352517985611,6.231079136690648,5.2955395683453235,3.838848920863309,1.216546762589928,40.0,1278764,425,33.2,8,1.88
Nusa Tenggara Barat,2019,22.500479452054794,32.49219178082192,20.13945205479452,58.86027397260274,3.4333561643835617,7.835068493150685,5.573972602739726,2.254109589041096,273.0,5070385,2971,58.6,16,0.54
Nusa Tenggara Barat,2020,23.10028328611898,32.50481586402267,20.4092776203966,59.963172804532576,4.092776203966006,7.194546742209632,5.373229461756374,2.1359773371104818,286.0,5125622,4720,92.1,13,0.28
Nusa Tenggara Timur,2019,21.862942629700797,31.194619818830635,25.737578918473787,75.39390612132857,3.258715344496294,7.823826516607192,5.687894592368926,2.4611583859456494,112.0,5456203,4059,74.39,55,1.36
Nusa Tenggara Timur,2020,22.32465169178277,31.438953653682116,26.24284901905033,76.4936025021325,4.108842763719078,7.5035257321580895,5.594540801819733,2.414842195052602,109.0,5541394,5968,107.7,59,0.99
Papua,2019,20.506183932346723,24.32626849894292,20.35346194503171,63.46670190274841,7.959989429175475,4.328964059196617,4.933668076109937,1.9537526427061311,11.0,3379302,597,17.67,6,1.01
Papua,2020,20.394767273778548,26.089852558542933,21.76944203527031,70.03295750216826,8.583752529632841,4.649349522983521,4.9563457646718705,1.882625036137612,13.0,3435430,172,5.0,1,0.58
Papua Barat,2019,23.133150684931508,30.538520547945208,25.928164383561644,80.67506849315069,5.989917808219178,4.752054794520548,4.348493150684932,1.7813698630136987,9.0,959617,354,36.89,3,0.85
Papua Barat,2020,23.33103448275862,30.591116306253653,25.68737580362361,79.03682057276447,7.657451782583284,4.737989479836353,4.5032144944476915,1.8030391583869083,11.0,981822,163,16.6,0,0.0
Riau,2019,21.698896044158236,31.913891444342227,27.001747930082797,60.195952161913524,5.259061637534499,4.2740570377184905,3.6182152713891442,0.8804047838086476,80.0,6971745,4126,59.18,30,0.73
Riau,2020,22.21704761904762,32.36076190476191,26.924,82.63428571428571,6.672761904761904,4.339809523809524,3.7342857142857144,0.8876190476190476,73.0,7128305,2948,41.4,38,1.29
Sulawesi Barat,2019,24.64876712328767,32.13205479452055,27.76219178082192,78.03561643835616,2.4243835616438356,7.043561643835616,4.104109589041096,1.8767123287671232,82.0,1380256,796,57.67,8,1.01
Sulawesi Barat,2020,21.45806451612903,30.0258064516129,21.80557184750733,62.28445747800586,4.0319648093841645,5.881524926686216,4.032258064516129,1.9618768328445748,85.0,1405012,630,44.8,3,0.48
Sulawesi Selatan,2019,21.864035087719298,31.311567982456143,25.1155701754386,74.36951754385964,6.201425438596491,6.662774122807018,4.209978070175438,1.5213815789473684,189.0,8851240,3265,36.89,19,0.58
Sulawesi Selatan,2020,22.705134189031504,30.5267211201867,24.448074679113187,75.80746791131855,10.290373395565927,5.740840140023336,3.9807467911318555,1.3325554259043173,194.0,8928004,2714,30.4,27,0.99
Sulawesi Tengah,2019,23.038869504535935,31.99155617585485,25.636147941381715,73.73970690858339,3.314026517794836,5.93635729239358,4.758548499651082,1.685973482205164,49.0,3054023,1947,63.75,17,0.87
Sulawesi Tengah,2020,21.984642857142855,28.26919642857143,20.015625,58.801785714285714,5.509017857142857,5.232232142857143,4.588392857142857,1.6196428571428572,48.0,3096976,1190,38.4,12,1.01
Sulawesi Tenggara,2019,22.66445205479452,31.749383561643835,25.442739726027398,75.85479452054794,4.606027397260274,5.628904109589041,3.702739726027397,1.321917808219178,71.0,2704737,1479,54.68,8,0.54
Sulawesi Tenggara,2020,23.939167862266856,30.03077474892396,25.383644189383073,77.22812051649929,6.655093256814921,4.75638450502152,3.5322812051649928,1.2682926829268293,69.0,2755589,905,32.8,9,0.99
Sulawesi Utara,2019,22.296875,30.839967105263156,25.107949561403508,75.49616228070175,5.407620614035087,6.1798245614035086,4.069627192982456,1.5975877192982457,181.0,2506981,2381,94.97,27,1.13
Sulawesi Utara,2020,22.599601593625497,30.985828116107,25.336368810472397,81.77746158224245,7.7986909504837785,5.391121229368242,3.7455890722822995,1.3357996585088219,189.0,2528794,1219,48.2,18,1.48
Sumatera Barat,2019,19.381412894375856,28.989780521262002,19.60349794238683,63.560356652949245,8.594993141289438,4.589780521262003,3.624142661179698,1.1358024691358024,130.0,5441197,2263,41.59,9,0.4
Sumatera Barat,2020,21.149139710942876,30.053819683413625,20.44260151410874,66.84445973847212,11.031039229181005,5.157949070887819,3.717136958017894,1.2553337921541639,132.0,5498751,1117,20.3,3,0.27
Sumatera Selatan,2019,23.162328767123288,32.77849315068493,27.528082191780822,82.76438356164384,5.86054794520548,5.108082191780822,4.53972602739726,2.149315068493151,92.0,8470683,2799,33.04,16,0.57
Sumatera Selatan,2020,23.962606232294615,31.927478753541074,27.470538243626063,84.34419263456091,7.515580736543909,4.5181303116147316,4.18413597733711,1.8314447592067988,92.0,8567923,2359,27.5,3,0.13
Sumatera Utara,2019,22.155953947368424,31.835361842105264,25.96375,81.06809210526316,7.479407894736843,4.39358552631579,4.038815789473684,1.2342105263157894,200.0,14562549,7731,53.09,38,0.49
Sumatera Utara,2020,21.93505747126437,28.323116219667945,23.09961685823755,72.76532567049809,8.055012771392082,4.106736909323116,4.1219667943805876,1.4316730523627075,203.0,14703532,3125,21.3,7,0.22
